data,title
"[{'Distro_Version': '5209r', 'Python_version': '2.7.5'}]",blueonyx
"[{'Distro_Version': '1.58', 'Python_version': '2.7.10'}]",bsdrp
"[{'Distro_Version': '2017.06.14', 'Python_version': '3.6.1'}, {'Distro_Version': '2016.12.29', 'Python_version': '3.5.2'}, {'Distro_Version': '2015.03.29', 'Python_version': '3.4.3'}, {'Distro_Version': '2014.07.01', 'Python_version': '3.4.1'}]",blackarch
"[{'Distro_Version': '4.11.5', 'Python_version': '3.6.1'}, {'Distro_Version': '4.8.4', 'Python_version': '3.5.2'}]",bluestar
"[{'Distro_Version': '10.0', 'Python_version': '2.7.11'}, {'Distro_Version': 'tambora', 'Python_version': '2.7.5'}, {'Distro_Version': '9.1', 'Python_version': '2.7.3'}, {'Distro_Version': 'suroboyo', 'Python_version': '2.7.1'}, {'Distro_Version': '8.0', 'Python_version': '2.6.5'}, {'Distro_Version': 'rote', 'Python_version': '2.6.2'}, {'Distro_Version': '7.0', 'Python_version': '2.5.2'}, {'Distro_Version': 'pattimura', 'Python_version': '2.5.2'}]",blankon
"[{'Distro_Version': '6.1', 'Python_version': '2.7.9'}, {'Distro_Version': '5.0', 'Python_version': '2.7.3'}, {'Distro_Version': '4.0', 'Python_version': '2.6.6'}, {'Distro_Version': '3.0', 'Python_version': '2.4.4'}, {'Distro_Version': '2.0', 'Python_version': '2.4.4'}, {'Distro_Version': '1.1', 'Python_version': '2.4.3'}, {'Distro_Version': '1.0', 'Python_version': '2.4.3'}]",boss
"[{'Distro_Version': '16.2', 'Python_version': '2.7.11'}, {'Distro_Version': 'silentkiller', 'Python_version': '2.7.7'}, {'Distro_Version': '14.1.2', 'Python_version': '2.7'}, {'Distro_Version': 'walkingdead', 'Python_version': '2.7'}, {'Distro_Version': '11.1.2', 'Python_version': '2.6.4'}, {'Distro_Version': 'darkness', 'Python_version': '2.6.1'}, {'Distro_Version': '11.1', 'Python_version': '2.4.3'}, {'Distro_Version': 'darkness', 'Python_version': '2.4'}, {'Distro_Version': '10.1', 'Python_version': '2.3'}]",blackpanther
"[{'Distro_Version': '4.2.0', 'Python_version': '2.7.11'}, {'Distro_Version': '3.2.1', 'Python_version': '2.7.5'}, {'Distro_Version': '2.4.0', 'Python_version': '2.7.3'}, {'Distro_Version': '1.4.0', 'Python_version': '2.6.6'}]",bodhi
"[{'Distro_Version': '14.2.0', 'Python_version': '2.7.9'}]",bitkey
"[{'Distro_Version': '8.0.7', 'Python_version': '2.7.5'}, {'Distro_Version': '7.0.9', 'Python_version': '2.7.3'}, {'Distro_Version': '6.0.29', 'Python_version': '2.6.5'}]",biolinux
"[{'Distro_Version': '4.1-r16', 'Python_version': '3.4.3'}, {'Distro_Version': '3.8', 'Python_version': '3.1.4'}]",bicom
"[{'Distro_Version': '1.24', 'Python_version': '3.5.2'}, {'Distro_Version': '1.23', 'Python_version': '2.7.12'}, {'Distro_Version': '1.22', 'Python_version': '2.7.10'}, {'Distro_Version': '1.20', 'Python_version': '2.7.8'}, {'Distro_Version': '1.18', 'Python_version': '2.7.5'}, {'Distro_Version': '1.17', 'Python_version': '2.7.3'}, {'Distro_Version': '1.13', 'Python_version': '2.7.2'}, {'Distro_Version': '1.12', 'Python_version': '2.7.1'}, {'Distro_Version': '1.10', 'Python_version': '2.7'}, {'Distro_Version': '1.03', 'Python_version': '2.6.2'}, {'Distro_Version': '1.00', 'Python_version': '2.6'}, {'Distro_Version': '0.97', 'Python_version': '2.5.2'}, {'Distro_Version': '0.93', 'Python_version': '2.5.1'}, {'Distro_Version': '0.90', 'Python_version': '2.5.1'}, {'Distro_Version': '0.86', 'Python_version': '2.5'}, {'Distro_Version': '0.81', 'Python_version': '2.4.4'}, {'Distro_Version': '0.75', 'Python_version': '2.4.3'}, {'Distro_Version': '0.68', 'Python_version': '2.4.1'}, {'Distro_Version': '0.60', 'Python_version': '2.4.1'}, {'Distro_Version': '0.50', 'Python_version': '2.3.3'}]",berry
"[{'Distro_Version': '6.7.3', 'Python_version': '2.6.6'}]",baruwa
